run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
1,1,cantilever_beam,42,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be
2,2,cantilever_beam,1042,4,"[""h1"", ""b2"", ""b1"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65
3,3,cantilever_beam,2042,4,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85
4,4,cantilever_beam,3042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac
5,5,cantilever_beam,4042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2
6,6,cantilever_beam,5042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be
7,7,cantilever_beam,6042,4,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee
8,8,cantilever_beam,7042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075
9,9,cantilever_beam,8042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893
10,10,cantilever_beam,9042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0
