run,repeat,problem,seed,strategy,executed_strategy,objective_sense,optimizer_goal,optimizer_goal_effective,optimizer_goal_mode,optimizer_score_goal,optimizer_score_goal_source,optimizer_best_objective,optimizer_best_objective_raw,optimizer_internal_goal_hit,optimizer_goal_hit,optimizer_score_goal_hit,focus3_best_objective,focus3_internal_goal_hit,focus3_goal_hit,focus3_score_goal_hit,archive_only_goal_hit,score_archive_only_goal_hit,focus3_eval_count,focus3_improved_count,source_prob_topk,source_prob_best_local,source_prob_correlated_local,source_prob_boundary,source_prob_random,focus3_selected_topk,focus3_selected_best_local,focus3_selected_correlated_local,focus3_selected_local_probe,focus3_selected_boundary,focus3_selected_random,focus3_best_score_correlated_local,focus3_best_score_best_local,focus3_near_goal_exploitation_active,focus3_goal_free_plateau_applied,focus3_goal_free_plateau_state,focus3_acq_effective,focus3_recover_active,focus3_recover_no_improve_count,optimizer_n_iterations,modeler_all_real_included,modeler_all_real_only,modeler_selected_features,selected_feature_count,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,survivor_optimum_included,volume_ratio,volume_ratio_pct,volume_cap_pass,explorer_bounds_pass,explorer_joint_pass,optimizer_final_pass,optimizer_score_final_pass,optimizer_csv,optimizer_metadata,explorer_metadata,selected_bounds_path,run_root
1,1,cantilever_beam,42,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.33746983044284,93.33746983044284,False,True,True,93.33746983044284,False,True,True,False,False,60,1,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,43,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2498999999999999,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be
2,2,cantilever_beam,1042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.22851174040916,93.22851174040916,False,True,True,93.22851174040916,False,True,True,False,False,60,3,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,37,60,True,True,"[""h1"", ""b2"", ""b1"", ""H""]",4,4,0,100.0,True,0.24990000000000004,24.990000000000006,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65
3,3,cantilever_beam,2042,S4_dual,S4_dual,min,,,off,114.66,score_goal,94.18457734018185,94.18457734018185,False,True,True,94.18457734018185,False,True,True,False,False,60,1,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,57,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000003476,24.990000000003477,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85
4,4,cantilever_beam,3042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.77388195171453,92.77388195171453,False,True,True,92.77388195171451,False,True,True,False,False,60,5,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,51,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000000004,24.990000000000006,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac
5,5,cantilever_beam,4042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.5148087170975,93.5148087170975,False,True,True,93.5148087170975,False,True,True,False,False,60,2,0.8662305436498985,0.0,,0.0270697044890593,0.1066997518610421,0,0,0,0,0,0,,,False,False,nan,LCB,True,6,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2499000000002624,24.990000000026242,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2
6,6,cantilever_beam,5042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.87476295276915,92.87476295276915,False,True,True,92.87476295276916,False,True,True,False,False,60,3,0.8451465493943935,0.0,,0.029481856374223,0.1253715942313834,0,0,0,0,0,0,,,False,False,nan,LCB,True,9,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2499000000000349,24.99000000000349,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be
7,7,cantilever_beam,6042,S4_dual,S4_dual,min,,,off,114.66,score_goal,94.0033583398044,94.0033583398044,False,True,True,94.0033583398044,False,True,True,False,False,60,6,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,19,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,False,0.2499000000001727,24.99000000001727,True,False,False,False,False,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee
8,8,cantilever_beam,7042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.97785583272622,92.97785583272622,False,True,True,92.97785583272622,False,True,True,False,False,60,4,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,26,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000041193,24.990000000041192,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075
9,9,cantilever_beam,8042,S4_dual,S4_dual,min,,,off,114.66,score_goal,95.22302689973117,95.22302689973117,False,True,True,95.22302689973117,False,True,True,False,False,60,5,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,24,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2499000000003069,24.99000000003069,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893
10,10,cantilever_beam,9042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.01486212701356,93.01486212701356,False,True,True,93.01486212701356,False,True,True,False,False,60,3,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,51,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000032245,24.990000000032246,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0
