run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
1,1,cantilever_beam,42,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e
2,2,cantilever_beam,1042,4,"[""h1"", ""b2"", ""b1"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9
3,3,cantilever_beam,2042,4,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523
4,4,cantilever_beam,3042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14
5,5,cantilever_beam,4042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e
6,6,cantilever_beam,5042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9
7,7,cantilever_beam,6042,4,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3
8,8,cantilever_beam,7042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b
9,9,cantilever_beam,8042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a
10,10,cantilever_beam,9042,4,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97
