run,repeat,problem,seed,strategy,executed_strategy,objective_sense,optimizer_goal,optimizer_goal_effective,optimizer_goal_mode,optimizer_score_goal,optimizer_score_goal_source,optimizer_best_objective,optimizer_best_objective_raw,optimizer_internal_goal_hit,optimizer_goal_hit,optimizer_score_goal_hit,focus3_best_objective,focus3_internal_goal_hit,focus3_goal_hit,focus3_score_goal_hit,archive_only_goal_hit,score_archive_only_goal_hit,focus3_eval_count,focus3_improved_count,source_prob_topk,source_prob_best_local,source_prob_correlated_local,source_prob_boundary,source_prob_random,focus3_selected_topk,focus3_selected_best_local,focus3_selected_correlated_local,focus3_selected_local_probe,focus3_selected_boundary,focus3_selected_random,focus3_best_score_correlated_local,focus3_best_score_best_local,focus3_near_goal_exploitation_active,focus3_goal_free_plateau_applied,focus3_goal_free_plateau_state,focus3_acq_effective,focus3_recover_active,focus3_recover_no_improve_count,optimizer_n_iterations,modeler_all_real_included,modeler_all_real_only,modeler_selected_features,selected_feature_count,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,survivor_optimum_included,volume_ratio,volume_ratio_pct,volume_cap_pass,explorer_bounds_pass,explorer_joint_pass,optimizer_final_pass,optimizer_score_final_pass,optimizer_csv,optimizer_metadata,explorer_metadata,selected_bounds_path,run_root
1,1,cantilever_beam,42,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.33746983044284,93.33746983044284,False,True,True,93.33746983044284,False,True,True,False,False,60,1,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,43,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2498999999999999,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_115957_887283_ae6e
2,2,cantilever_beam,1042,S4_dual,S4_dual,min,,,off,114.66,score_goal,93.07720872328288,93.07720872328288,False,True,True,93.07720872328288,False,True,True,False,False,60,2,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,54,60,True,True,"[""h1"", ""b2"", ""b1"", ""H""]",4,4,0,100.0,True,0.2498999999999999,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120147_623725_b1d9
3,3,cantilever_beam,2042,S4_dual,S4_dual,min,,,off,114.66,score_goal,94.37162687485738,94.37162687485738,False,True,True,94.37162687485738,False,True,True,False,False,60,1,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,43,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2499,24.990000000000002,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120404_389064_a523
4,4,cantilever_beam,3042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.77388195171453,92.77388195171453,False,True,True,92.77388195171451,False,True,True,False,False,60,5,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,51,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24990000000000004,24.990000000000006,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120547_807592_9e14
5,5,cantilever_beam,4042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.91026408609896,92.91026408609896,False,True,True,92.91026408609896,False,True,True,False,False,60,2,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,52,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999996,24.989999999999995,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120755_495136_100e
6,6,cantilever_beam,5042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.80544145547863,92.80544145547863,False,True,True,92.80544145547864,False,True,True,False,False,60,2,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,42,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999996,24.989999999999995,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_120945_508580_e5d9
7,7,cantilever_beam,6042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.98153440461147,92.98153440461147,False,True,True,92.98153440461148,False,True,True,False,False,60,8,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,37,60,True,True,"[""b1"", ""h1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999984,24.989999999999984,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121208_026121_47a3
8,8,cantilever_beam,7042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.77572949982388,92.77572949982388,False,True,True,92.77572949982388,False,True,True,False,False,60,3,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,43,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999993,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121439_605478_3b2b
9,9,cantilever_beam,8042,S4_dual,S4_dual,min,,,off,114.66,score_goal,94.39091074004365,94.39091074004365,False,True,True,94.39091074004364,False,True,True,False,False,60,8,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,24,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.24989999999999993,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121718_873368_4c9a
10,10,cantilever_beam,9042,S4_dual,S4_dual,min,,,off,114.66,score_goal,92.89378368803438,92.89378368803438,False,True,True,92.89378368803438,False,True,True,False,False,60,7,0.7884121745507885,0.0,,0.0737990465713238,0.1377887788778878,0,0,0,0,0,0,,,False,False,nan,LCB,True,17,60,True,True,"[""h1"", ""b1"", ""b2"", ""H""]",4,4,0,100.0,True,0.2498999999999999,24.98999999999999,True,True,True,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97\OPT\artifacts\public\opt_results.csv,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97\OPT\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_cantilever_beam_20260902_121932_191096_4e97
