run_root,problem,selected,sel_count,dummy_count,fi_real_only_success,fi_all_real_included,fi_final_score_threshold,fi_global_score_floor,fi_stability_rule_very_low_data,fi_stability_perm_min_rate_very_low_data,fi_stability_drop_min_rate_very_low_data,fi_stability_rule_normal,fi_gap_filter_enabled,fi_gap_threshold_very_low_data,fi_gap_global_floor,fi_gap_min_retain,fi_drop_veto_enabled,fi_drop_veto_threshold,fi_disagreement_penalty_scale,fi_disagreement_threshold,fi_null_enabled,fi_null_mode,fi_null_quantile,fi_null_alpha_low_data,fi_bootstrap_enabled,fi_bootstrap_min_freq,fi_bootstrap_rescue_global_floor,fi_perm_var_penalty_very_low_data_scale,perm_repeats,perm_min_pass_rate,fi_drop_min_pass_rate,fi_drop_epsilon,fi_drop_min_pass_rate_very_low_data,fi_drop_epsilon_very_low_data,cv_low_data_np_ratio
result\past\additional=True\run_cantilever_beam_20260326_172335_379289_514b,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_172524_147534_d689,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_172715_385192_4113,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_172913_693078_6d9b,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_173123_277827_7494,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_173330_343318_d339,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_173529_619957_e52e,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_173733_345166_989e,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_173930_214991_f453,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\additional=True\run_cantilever_beam_20260326_174135_900970_173b,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.3,or,,,,,True,0.03,0.55,0.25,True,soft,0.85,0.3,True,0.7,,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
