run_root,problem,selected,sel_count,dummy_count,fi_real_only_success,fi_all_real_included,fi_final_score_threshold,fi_global_score_floor,fi_stability_rule_very_low_data,fi_stability_perm_min_rate_very_low_data,fi_stability_drop_min_rate_very_low_data,fi_stability_rule_normal,fi_gap_filter_enabled,fi_gap_threshold_very_low_data,fi_gap_global_floor,fi_gap_min_retain,fi_drop_veto_enabled,fi_drop_veto_threshold,fi_disagreement_penalty_scale,fi_disagreement_threshold,fi_null_enabled,fi_null_mode,fi_null_quantile,fi_null_alpha_low_data,fi_bootstrap_enabled,fi_bootstrap_min_freq,fi_bootstrap_rescue_global_floor,fi_perm_var_penalty_very_low_data_scale,perm_repeats,perm_min_pass_rate,fi_drop_min_pass_rate,fi_drop_epsilon,fi_drop_min_pass_rate_very_low_data,fi_drop_epsilon_very_low_data,cv_low_data_np_ratio
result\past\run_cantilever_beam_20260402_112848_376561_d014,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_113115_540649_cafe,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_113349_569983_98ed,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_113634_241333_fe9e,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_113932_750522_cd7d,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_114226_239217_37bd,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_114510_288883_5b94,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_114758_744197_1549,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_115039_449468_d16f,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_115332_939364_1925,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_115554_027210_2180,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
result\past\run_cantilever_beam_20260402_115847_054336_ee41,cantilever_beam,"H,b1,b2,h1",4,0,1,1,0.55,0.25,and,0.6,0.42,or,True,0.08,0.79,2,True,0.03,0.55,0.25,True,soft,0.85,0.45,True,0.73,0.75,0.2,5,0.6,0.6,0.06,0.35,0.02,15.0
